EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationLevel,EducationField,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,StockOptionLevel,OverTime,Salary,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
1001,40,Male,Single,Engineering,Software Engineer,Master's,Medical,Non-Travel,5,1,9,5,1.0,1,0.0,1,No,93138.0,7761.0,1.0,4.0,1,1,1,3,No
1002,34,Male,Married,IT Support,Systems Analyst,Bachelor's,Marketing,Non-Travel,2,0,2,0,0.0,0,0.0,0,No,63509.0,5292.0,4.0,3.0,3,2,2,4,No
1003,30,Female,Married,Operations,Supply Chain Executive,Master's,Other,Travel_Frequently,1,9,6,3,0.0,2,1.0,2,Yes,66927.0,5577.0,4.0,1.0,3,3,2,4,No
1004,27,Female,Single,Marketing,Marketing Analyst,Bachelor's,Technical Degree,Travel_Rarely,8,0,6,1,1.0,0,5.0,1,Yes,66984.0,5582.0,3.0,1.0,2,2,2,3,Yes
1005,25,Female,Married,Operations,Operations Manager,Bachelor's,Life Sciences,Non-Travel,1,0,3,0,0.0,0,5.0,1,Yes,51902.0,4325.0,3.0,2.0,4,4,4,3,Yes
1006,39,Female,Single,IT Support,Support Specialist,Bachelor's,Medical,Non-Travel,21,0,4,1,0.0,1,3.0,1,No,52049.0,4337.0,1.0,2.0,2,4,1,3,No
1007,24,Female,Married,Sales,Sales Executive,Master's,Human Resources,Travel_Rarely,5,1,4,3,1.0,0,2.0,3,No,75688.0,6307.0,3.0,4.0,2,4,1,4,No
1008,45,Male,Single,Engineering,Tech Lead,Master's,Human Resources,Travel_Rarely,1,0,17,11,5.0,0,6.0,2,No,111890.0,9324.0,1.0,3.0,4,1,1,4,Yes
1009,22,Male,Divorced,Marketing,Marketing Analyst,Associate,Technical Degree,Travel_Rarely,3,0,4,7,7.0,2,1.0,3,No,53561.0,4463.0,2.0,2.0,4,2,3,3,No
1010,29,Female,Married,Marketing,Content Strategist,Bachelor's,Other,Travel_Rarely,15,3,0,0,0.0,0,4.0,0,No,49396.0,4116.0,1.0,2.0,2,1,3,2,Yes
1011,44,Female,Single,Sales,Sales Manager,Associate,Life Sciences,Non-Travel,5,0,6,0,0.0,0,1.0,0,No,59471.0,4955.0,4.0,2.0,2,4,2,4,No
1012,42,Male,Married,Operations,Logistics Coordinator,Bachelor's,Other,Travel_Frequently,19,1,7,2,0.0,2,3.0,0,Yes,61174.0,5097.0,1.0,1.0,4,3,1,3,Yes
1013,39,Female,Married,Legal,Compliance Officer,Master's,Life Sciences,Travel_Frequently,11,0,7,6,0.0,0,1.0,2,No,85092.0,7091.0,1.0,,1,1,2,3,No
1014,30,Female,Divorced,HR,Training Specialist,High School,Technical Degree,Travel_Rarely,6,5,4,2,0.0,2,4.0,1,No,39887.0,3323.0,3.0,4.0,4,2,2,3,Yes
1015,31,Male,Single,Operations,Operations Manager,Associate,Technical Degree,Travel_Rarely,19,2,9,6,6.0,2,1.0,1,No,58346.0,4862.0,2.0,1.0,1,2,4,3,Yes
1016,22,Female,Divorced,Engineering,DevOps Engineer,Master's,Human Resources,Non-Travel,20,1,4,1,1.0,1,2.0,3,No,86103.0,7175.0,3.0,2.0,3,4,2,4,No
1017,29,Male,Single,Sales,Sales Representative,Master's,Human Resources,Non-Travel,1,1,6,1,0.0,1,6.0,1,Yes,67557.0,5629.0,3.0,2.0,3,1,2,3,Yes
1018,33,Male,Single,Sales,Account Manager,PhD,Life Sciences,Travel_Frequently,3,1,2,2,0.0,1,2.0,1,No,86596.0,7216.0,2.0,3.0,3,2,3,3,Yes
1019,27,Male,Single,Sales,Sales Executive,Master's,Marketing,Travel_Rarely,1,9,9,16,0.0,3,5.0,3,No,81307.0,6775.0,3.0,2.0,4,4,1,3,No
